"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"strix::minimax_h3::dit_ops::FullAttentionKernel(unsigned short const*, unsigned short const*, unsigned short const*, unsigned short*, unsigned int, unsigned int, unsigned int, float)",2,612970166,306485083.000000,85.95,304931041,308039125,2197747.272896
"Cijk_Alik_Bljk_BBS_BH_MT128x128x32_MI16x16x16x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVW4_GSU1_GSUASB_GLS0_ISA1151_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW16_LWPMn1_LDW0_FMA_MIAV1_MDA2_MO40_MMFGLC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR0_PKA0_SIA1_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW2_SNLL0_TSGRA0_TSGRB0_TT4_64_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB2_VFLRP0_WSGRA1_WSGRB1_WS32_WG32_4_1_WGM1",16,94745400,5921587.500000,13.29,2547078,8165945,2142953.626910
"strix::minimax_h3::dit_ops::GroupedQkvNormRopeKernel(unsigned short const*, unsigned short const*, unsigned short const*, unsigned short const*, unsigned short const*, unsigned short*, unsigned short*, unsigned short*, unsigned int, unsigned int, unsigned int, unsigned int, float)",2,2559102,1279551.000000,0.3588,1277848,1281254,2408.405697
"strix::minimax_h3::dit_ops::FillBf16PatternKernel(unsigned short*, unsigned long, unsigned int)",4,775060,193765.000000,0.1087,130886,335152,95735.332948
"strix::minimax_h3::dit_ops::FirstMismatchKernel(unsigned short const*, unsigned short const*, unsigned long, unsigned long long*)",4,559974,139993.500000,0.0785,47249,267504,110068.826821
"strix::minimax_h3::dit_ops::AdaLnKernel(unsigned short const*, unsigned short const*, unsigned short const*, unsigned int const*, unsigned short*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float)",4,441112,110278.000000,0.0619,46207,175090,73617.732850
"__amd_rocclr_copyBuffer",14,436020,31144.285714,0.0611,1363,204706,60070.746568
"strix::minimax_h3::dit_ops::SwiGluKernel(unsigned short const*, unsigned short*, unsigned int, unsigned int)",2,359997,179998.500000,0.0505,179778,180219,311.834091
"strix::minimax_h3::dit_ops::GateKernel(unsigned short const*, unsigned short const*, unsigned short const*, unsigned int const*, unsigned short*, unsigned int, unsigned int, unsigned int, unsigned int)",4,289625,72406.250000,0.0406,70372,74501,1860.006160
"__amd_rocclr_fillBufferAligned",4,21680,5420.000000,0.00304,2324,6972,2096.559722
